Var1;Var2;Var3;Var4
rxn03004_c0;rxn04159_c0;cpd00067_c0;H+_c0
rxn01301_c0;rxn04159_c0;cpd00067_c0;H+_c0
rxn00148_c0;rxn04159_c0;cpd00067_c0;H+_c0
rxn01109_c0;rxn04159_c0;cpd00005_c0,cpd00067_c0;NADPH_c0,H+_c0
rxn02929_c0;rxn04159_c0;cpd00005_c0,cpd00067_c0;NADPH_c0,H+_c0
rxn00085_c0;rxn04159_c0;cpd00005_c0,cpd00067_c0;NADPH_c0,H+_c0
rxn01679_c0;rxn04159_c0;cpd00067_c0;H+_c0
rxn02716_c0;rxn04159_c0;cpd00005_c0,cpd00067_c0;NADPH_c0,H+_c0
rxn01706_c0;rxn04159_c0;cpd00067_c0;H+_c0
rxn07441_c0;rxn04159_c0;cpd00067_c0;H+_c0
rxn39452__DASH__c0_c0;rxn04159_c0;cpd00005_c0,cpd00067_c0;NADPH_c0,H+_c0
rxn10060_c0;rxn04159_c0;cpd00067_c0;H+_c0
rxn00077_c0;rxn04159_c0;cpd00067_c0;H+_c0
rxn00712_c0;rxn04159_c0;cpd00067_c0;H+_c0
rxn01129_c0;rxn04159_c0;cpd00067_c0;H+_c0
rxn01108_c0;rxn04159_c0;cpd00067_c0;H+_c0
rxn39451__DASH__c0_c0;rxn04159_c0;cpd00067_c0;H+_c0
rxn01705_c0;rxn04159_c0;cpd00067_c0;H+_c0
rxn00184_c0;rxn04159_c0;cpd00005_c0,cpd00067_c0;NADPH_c0,H+_c0
rxn00782_c0;rxn04159_c0;cpd00005_c0,cpd00067_c0;NADPH_c0,H+_c0
rxn12822_c0;rxn04159_c0;cpd00067_c0;H+_c0
rxn00931_c0;rxn04159_c0;cpd00005_c0,cpd00067_c0;NADPH_c0,H+_c0
rxn01302_c0;rxn04159_c0;cpd00005_c0,cpd00067_c0;NADPH_c0,H+_c0
rxn00612_c0;rxn04159_c0;cpd00005_c0,cpd00067_c0;NADPH_c0,H+_c0
rxn10481_c0;rxn04159_c0;cpd00067_c0;H+_c0
rxn05155_c0;rxn04159_c0;cpd00067_c0;H+_c0
R543;rxn04159_c0;cpd00005_c0;NADPH_c0
rxn08126_c0;rxn08127_c0;cpd01399_c0;Maltotetraose_c0
rxn08941_c0;rxn08127_c0;cpd01399_c0;Maltotetraose_c0
rxn01445_c0;rxn08942_c0;cpd00009_c0;Phosphate_c0
rxn08128_c0;rxn08942_c0;cpd01329_c0;Maltohexaose_c0
rxn10481_c0;rxn08942_c0;cpd00009_c0;Phosphate_c0
rxn05155_c0;rxn08942_c0;cpd00009_c0;Phosphate_c0
rxn00578;rxn08942_c0;cpd00009_c0;Phosphate_c0
rxn01673_c0;rxn01674_c0;cpd00356_c0;dCTP_c0
rxn10484_c0;rxn04162_c0;cpd00006_c0;NADP_c0
rxn04159_c0;rxn04162_c0;cpd00006_c0;NADP_c0
rxn05289_c0;rxn04162_c0;cpd00006_c0;NADP_c0
rxn00083_c0;rxn04162_c0;cpd00006_c0;NADP_c0
rxn10060_c0;rxn04162_c0;cpd00006_c0;NADP_c0
rxn00077_c0;rxn04162_c0;cpd00006_c0;NADP_c0
rxn15947_c0;rxn04162_c0;cpd00006_c0;NADP_c0
rxn01644_c0;rxn00278_c0;cpd00001_c0;H2O_c0
rxn07441_c0;rxn00278_c0;cpd00001_c0;H2O_c0
rxn00548_c0;rxn00278_c0;cpd00001_c0;H2O_c0
rxn01187_c0;rxn00278_c0;cpd00001_c0;H2O_c0
rxn03005_c0;rxn00278_c0;cpd00001_c0;H2O_c0
rxn15947_c0;rxn00278_c0;cpd00001_c0;H2O_c0
rxn00840_c0;rxn00839_c0;cpd00177_c0;dADP_c0
rxn01128_c0;rxn00839_c0;cpd00177_c0;dADP_c0
rxn09562_c0;rxn00839_c0;cpd00177_c0;dADP_c0
rxn01129_c0;rxn00839_c0;cpd00177_c0;dADP_c0
rxn01644_c0;rxn01211_c0;cpd00001_c0;H2O_c0
rxn07441_c0;rxn01211_c0;cpd00001_c0;H2O_c0
rxn00548_c0;rxn01211_c0;cpd00001_c0;H2O_c0
rxn01187_c0;rxn01211_c0;cpd00001_c0;H2O_c0
rxn03005_c0;rxn01211_c0;cpd00001_c0,cpd00347_c0;H2O_c0,5-10-Methenyltetrahydrofolate_c0
rxn15947_c0;rxn01211_c0;cpd00001_c0;H2O_c0
rxn00304_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn01515_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn05582_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn04792_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn00611_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn01644_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn00840_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn01128_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn01370_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn05297_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn01674_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn04162_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn00278_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn01211_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn00929_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn01510_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn00781_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn03004_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn01301_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn00148_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn01109_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn02929_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn00085_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn01679_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn02716_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn01706_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn07441_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn39452__DASH__c0_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn10060_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn00077_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn00712_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn01129_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn01108_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn39451__DASH__c0_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn01705_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn00184_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn00782_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn12822_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn00931_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn01302_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn00612_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn10481_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn05155_c0;rxn05209_c0;cpd00067_c0;H+_c0
rxn00304_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn01515_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn05582_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn04792_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn00611_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn01644_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn00840_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn01128_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn01370_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn05297_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn01674_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn04162_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn00278_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn01211_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn00929_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn01510_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn00781_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn03004_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn01301_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn00148_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn01109_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn02929_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn00085_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn01679_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn02716_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn01706_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn07441_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn39452__DASH__c0_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn10060_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn00077_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn00712_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn01129_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn01108_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn39451__DASH__c0_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn01705_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn00184_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn00782_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn12822_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn00931_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn01302_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn00612_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn10481_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn05155_c0;rxn01509_c0;cpd00067_c0;H+_c0
rxn01353_c0;rxn01510_c0;cpd00241_c0;dGTP_c0
rxn01445_c0;rxn00781_c0;cpd00009_c0;Phosphate_c0
rxn01187_c0;rxn00781_c0;cpd00102_c0;Glyceraldehyde3-phosphate_c0
rxn10481_c0;rxn00781_c0;cpd00009_c0;Phosphate_c0
rxn05155_c0;rxn00781_c0;cpd00009_c0;Phosphate_c0
rxn00578;rxn00781_c0;cpd00009_c0;Phosphate_c0
rxn00304_c0;rxn05289_c0;cpd00067_c0;H+_c0
rxn01515_c0;rxn05289_c0;cpd00067_c0;H+_c0
rxn05582_c0;rxn05289_c0;cpd00067_c0;H+_c0
rxn04792_c0;rxn05289_c0;cpd00067_c0;H+_c0
rxn00611_c0;rxn05289_c0;cpd00067_c0;H+_c0
rxn01644_c0;rxn05289_c0;cpd00067_c0;H+_c0
rxn00840_c0;rxn05289_c0;cpd00067_c0;H+_c0
rxn01128_c0;rxn05289_c0;cpd00067_c0;H+_c0
rxn01370_c0;rxn05289_c0;cpd00067_c0;H+_c0
rxn05297_c0;rxn05289_c0;cpd00067_c0;H+_c0
rxn01674_c0;rxn05289_c0;cpd00067_c0;H+_c0
rxn04162_c0;rxn05289_c0;cpd00005_c0,cpd00067_c0;NADPH_c0,H+_c0
rxn00278_c0;rxn05289_c0;cpd00067_c0;H+_c0
rxn01211_c0;rxn05289_c0;cpd00067_c0;H+_c0
rxn00929_c0;rxn05289_c0;cpd00067_c0;H+_c0
rxn01510_c0;rxn05289_c0;cpd00067_c0;H+_c0
rxn00781_c0;rxn05289_c0;cpd00067_c0;H+_c0
rxn03004_c0;rxn05289_c0;cpd00067_c0;H+_c0
rxn01301_c0;rxn05289_c0;cpd00067_c0;H+_c0
rxn00148_c0;rxn05289_c0;cpd00067_c0;H+_c0
rxn01109_c0;rxn05289_c0;cpd00005_c0,cpd00067_c0;NADPH_c0,H+_c0
rxn02929_c0;rxn05289_c0;cpd00005_c0,cpd00067_c0;NADPH_c0,H+_c0
rxn00085_c0;rxn05289_c0;cpd00005_c0,cpd00067_c0;NADPH_c0,H+_c0
rxn01679_c0;rxn05289_c0;cpd00067_c0;H+_c0
rxn02716_c0;rxn05289_c0;cpd00005_c0,cpd00067_c0;NADPH_c0,H+_c0
rxn01706_c0;rxn05289_c0;cpd00067_c0;H+_c0
rxn07441_c0;rxn05289_c0;cpd00067_c0;H+_c0
rxn39452__DASH__c0_c0;rxn05289_c0;cpd00005_c0,cpd00067_c0;NADPH_c0,H+_c0
rxn10060_c0;rxn05289_c0;cpd00067_c0;H+_c0
rxn00077_c0;rxn05289_c0;cpd00067_c0;H+_c0
rxn00712_c0;rxn05289_c0;cpd00067_c0;H+_c0
rxn01129_c0;rxn05289_c0;cpd00067_c0;H+_c0
rxn01108_c0;rxn05289_c0;cpd00067_c0;H+_c0
rxn39451__DASH__c0_c0;rxn05289_c0;cpd00067_c0;H+_c0
rxn01705_c0;rxn05289_c0;cpd00067_c0;H+_c0
rxn00184_c0;rxn05289_c0;cpd00005_c0,cpd00067_c0;NADPH_c0,H+_c0
rxn00782_c0;rxn05289_c0;cpd00005_c0,cpd00067_c0;NADPH_c0,H+_c0
rxn12822_c0;rxn05289_c0;cpd00067_c0;H+_c0
rxn00931_c0;rxn05289_c0;cpd00005_c0,cpd00067_c0;NADPH_c0,H+_c0
rxn01302_c0;rxn05289_c0;cpd00005_c0,cpd00067_c0;NADPH_c0,H+_c0
rxn00612_c0;rxn05289_c0;cpd00005_c0,cpd00067_c0;NADPH_c0,H+_c0
rxn10481_c0;rxn05289_c0;cpd00067_c0;H+_c0
rxn05155_c0;rxn05289_c0;cpd00067_c0;H+_c0
R543;rxn05289_c0;cpd00005_c0;NADPH_c0
rxn04162_c0;rxn00083_c0;cpd00005_c0;NADPH_c0
rxn01109_c0;rxn00083_c0;cpd00005_c0;NADPH_c0
rxn02929_c0;rxn00083_c0;cpd00005_c0;NADPH_c0
rxn00085_c0;rxn00083_c0;cpd00005_c0;NADPH_c0
rxn02716_c0;rxn00083_c0;cpd00005_c0;NADPH_c0
rxn39452__DASH__c0_c0;rxn00083_c0;cpd00005_c0;NADPH_c0
rxn00184_c0;rxn00083_c0;cpd00005_c0;NADPH_c0
rxn00782_c0;rxn00083_c0;cpd00005_c0;NADPH_c0
rxn00931_c0;rxn00083_c0;cpd00005_c0;NADPH_c0
rxn01302_c0;rxn00083_c0;cpd00005_c0;NADPH_c0
rxn00612_c0;rxn00083_c0;cpd00005_c0;NADPH_c0
R543;rxn00083_c0;cpd00005_c0;NADPH_c0
rxn01211_c0;rxn03004_c0;cpd00201_c0;10-Formyltetrahydrofolate_c0
rxn03005_c0;rxn03004_c0;cpd02394_c0;GAR_c0
rxn00278_c0;rxn00148_c0;cpd00020_c0;Pyruvate_c0
rxn01445_c0;rxn01132_c0;cpd00009_c0;Phosphate_c0
rxn10481_c0;rxn01132_c0;cpd00009_c0;Phosphate_c0
rxn05155_c0;rxn01132_c0;cpd00009_c0;Phosphate_c0
rxn00578;rxn01132_c0;cpd00009_c0;Phosphate_c0
rxn10484_c0;rxn01109_c0;cpd00006_c0;NADP_c0
rxn04159_c0;rxn01109_c0;cpd00006_c0;NADP_c0
rxn05289_c0;rxn01109_c0;cpd00006_c0;NADP_c0
rxn00083_c0;rxn01109_c0;cpd00006_c0;NADP_c0
rxn10060_c0;rxn01109_c0;cpd00006_c0;NADP_c0
rxn00077_c0;rxn01109_c0;cpd00006_c0;NADP_c0
rxn15947_c0;rxn01109_c0;cpd00006_c0;NADP_c0
rxn00304_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn01515_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn05582_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn04792_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn00611_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn01644_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn00840_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn01128_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn01370_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn05297_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn01674_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn04162_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn00278_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn01211_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn00929_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn01510_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn00781_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn03004_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn01301_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn00148_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn01109_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn02929_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn00085_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn01679_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn10052_c0;rxn00104_c0;cpd00012_c0;PPi_c0
rxn02716_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn09176_c0;rxn00104_c0;cpd00012_c0;PPi_c0
rxn01706_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn07441_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn39452__DASH__c0_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn10060_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn00077_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn00695_c0;rxn00104_c0;cpd00012_c0;PPi_c0
rxn00712_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn01129_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn01108_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn39451__DASH__c0_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn01705_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn00184_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn00782_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn12822_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn00931_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn01302_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn03916_c0;rxn00104_c0;cpd00012_c0;PPi_c0
rxn02155_c0;rxn00104_c0;cpd00012_c0;PPi_c0
rxn00612_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn10481_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn05155_c0;rxn00104_c0;cpd00067_c0;H+_c0
rxn00304_c0;rxn09562_c0;cpd00067_c0;H+_c0
rxn01515_c0;rxn09562_c0;cpd00067_c0;H+_c0
rxn05582_c0;rxn09562_c0;cpd00067_c0;H+_c0
rxn04792_c0;rxn09562_c0;cpd00067_c0;H+_c0
rxn00611_c0;rxn09562_c0;cpd00067_c0;H+_c0
rxn01644_c0;rxn09562_c0;cpd00067_c0;H+_c0
rxn00840_c0;rxn09562_c0;cpd00067_c0;H+_c0
rxn01128_c0;rxn09562_c0;cpd00067_c0;H+_c0
rxn01370_c0;rxn09562_c0;cpd00067_c0;H+_c0
rxn05297_c0;rxn09562_c0;cpd00067_c0;H+_c0
rxn01674_c0;rxn09562_c0;cpd00067_c0;H+_c0
rxn04162_c0;rxn09562_c0;cpd00067_c0;H+_c0
rxn00278_c0;rxn09562_c0;cpd00067_c0;H+_c0
rxn00839_c0;rxn09562_c0;cpd00115_c0;dATP_c0
rxn01211_c0;rxn09562_c0;cpd00067_c0;H+_c0
rxn00929_c0;rxn09562_c0;cpd00067_c0;H+_c0
rxn01510_c0;rxn09562_c0;cpd00067_c0;H+_c0
rxn00781_c0;rxn09562_c0;cpd00067_c0;H+_c0
rxn03004_c0;rxn09562_c0;cpd00067_c0;H+_c0
rxn01301_c0;rxn09562_c0;cpd00067_c0;H+_c0
rxn00148_c0;rxn09562_c0;cpd00067_c0;H+_c0
rxn01109_c0;rxn09562_c0;cpd00067_c0;H+_c0
rxn02929_c0;rxn09562_c0;cpd00067_c0;H+_c0
rxn00085_c0;rxn09562_c0;cpd00067_c0;H+_c0
rxn01679_c0;rxn09562_c0;cpd00067_c0;H+_c0
rxn02716_c0;rxn09562_c0;cpd00067_c0;H+_c0
rxn01706_c0;rxn09562_c0;cpd00067_c0;H+_c0
rxn07441_c0;rxn09562_c0;cpd00067_c0;H+_c0
rxn39452__DASH__c0_c0;rxn09562_c0;cpd00067_c0;H+_c0
rxn10060_c0;rxn09562_c0;cpd00067_c0;H+_c0
rxn00077_c0;rxn09562_c0;cpd00067_c0;H+_c0
rxn00712_c0;rxn09562_c0;cpd00067_c0;H+_c0
rxn01129_c0;rxn09562_c0;cpd00067_c0;H+_c0
rxn01108_c0;rxn09562_c0;cpd00067_c0;H+_c0
rxn39451__DASH__c0_c0;rxn09562_c0;cpd00067_c0;H+_c0
rxn01705_c0;rxn09562_c0;cpd00067_c0;H+_c0
rxn00184_c0;rxn09562_c0;cpd00067_c0;H+_c0
rxn00782_c0;rxn09562_c0;cpd00067_c0;H+_c0
